"","win_1970","win_1971","win_1972","win_1973","win_1974","win_1975","win_1976","win_1977","win_1978","win_1979","win_1980","win_1981","win_1982","win_1983","win_1984","win_1985","win_1986","win_1987","win_1988","win_1989","win_1990","win_1991","win_1992","win_1993","win_1994","win_1995","win_1996","win_1997","win_1998","win_1999","win_2000","win_2001","win_2002","win_2003","win_2004","win_2005","win_2006","win_2007","win_2008","win_2009","win_2010","win_2011","win_2012","win_2013","win_2014","win_2015","win_2016","win_2017","win_2018","win_2019","win_2020","species"
"Osmerus mordax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,7,7,7,6,"Osmerus mordax"
"Linaria vulgaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,126,166,166,"Linaria vulgaris"
"Tanacetum parthenium",1,2,1,1,1,1,1,2,3,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,6,12,18,24,28,27,"Tanacetum parthenium"
"Epipactis helleborine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,151,234,235,"Epipactis helleborine"
"Plantago lanceolata",3,5,5,6,10,10,9,12,14,19,21,21,18,14,5,1,NA,1,2,2,3,3,2,2,5,4,4,4,3,NA,NA,1,4,6,7,7,6,5,5,6,6,7,5,6,7,15,21,37,54,74,70,"Plantago lanceolata"
"Lathyrus sylvestris",1,2,2,1,1,2,2,4,4,7,7,6,4,5,2,2,2,2,2,2,1,1,1,NA,1,1,1,1,2,1,1,2,2,1,4,4,3,4,4,3,3,3,3,6,15,29,61,100,125,149,144,"Lathyrus sylvestris"
"Perca flavescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,2,4,5,8,11,15,25,39,51,70,84,97,87,"Perca flavescens"
"Filipendula rubra",NA,NA,1,1,1,2,2,2,3,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,10,11,11,"Filipendula rubra"
"Achillea ptarmica",9,10,7,6,5,6,6,7,6,8,6,9,8,8,6,5,2,2,1,1,2,1,1,2,2,1,1,1,NA,NA,1,3,3,3,4,3,1,1,1,NA,1,1,1,4,4,5,11,15,13,13,11,"Achillea ptarmica"
"Aegopodium podagraria",3,3,2,3,3,3,4,5,5,5,4,3,2,1,NA,NA,1,2,2,2,2,1,NA,NA,1,1,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,6,9,16,29,58,76,100,129,125,"Aegopodium podagraria"
"Barbarea vulgaris",13,15,15,13,13,11,14,15,21,28,25,26,25,16,9,6,2,NA,NA,NA,1,3,5,7,9,8,7,5,3,NA,NA,NA,NA,1,3,5,5,9,9,9,10,11,12,13,24,39,58,85,96,102,91,"Barbarea vulgaris"
"Tragopogon pratensis",6,9,7,6,6,5,4,5,3,5,4,4,3,4,2,1,1,1,4,5,5,6,6,4,3,3,2,2,2,1,2,2,3,3,2,2,2,1,4,6,6,7,7,8,9,18,27,46,61,77,71,"Tragopogon pratensis"
"Arctium lappa",1,1,1,1,1,1,1,3,7,7,8,8,6,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,1,2,3,5,5,9,12,23,41,58,69,83,77,"Arctium lappa"
"Tussilago farfara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,129,"Tussilago farfara"
"Verbena bonariensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,8,10,10,12,9,"Verbena bonariensis"
"Hydrocharis morsus-ranae",2,5,5,5,5,6,4,3,4,4,4,2,2,1,2,2,4,4,4,2,4,4,4,4,5,3,1,2,2,1,1,1,1,1,2,2,3,2,3,2,4,4,7,6,7,11,16,23,29,38,37,"Hydrocharis morsus-ranae"
"Elymus repens",6,8,11,11,12,14,14,11,11,12,19,20,19,18,15,5,2,7,10,11,10,11,8,6,5,8,8,6,6,6,6,6,7,8,9,6,4,3,2,4,5,6,6,6,7,9,13,21,22,31,29,"Elymus repens"
"Solanum dulcamara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,95,96,"Solanum dulcamara"
"Silene flos-cuculi",6,6,7,5,4,4,5,7,8,15,24,26,26,31,22,14,11,10,3,3,2,2,2,1,1,NA,NA,NA,1,1,2,2,3,3,5,6,7,6,7,7,6,7,8,9,10,17,27,35,42,54,51,"Silene flos-cuculi"
"Poa compressa",4,11,13,12,13,14,8,7,6,11,11,16,16,16,10,10,4,6,14,15,15,15,13,3,6,9,9,8,8,6,8,7,10,10,9,7,8,6,6,5,3,3,2,3,3,3,3,4,3,12,12,"Poa compressa"
"Rosa multiflora",NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,2,6,10,13,17,16,"Rosa multiflora"
"Lysimachia clethroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,6,16,26,37,37,"Lysimachia clethroides"
"Rumex obtusifolius",5,7,5,5,4,5,5,8,9,10,9,8,5,4,3,1,2,3,3,3,3,3,2,3,4,4,3,3,3,2,1,2,3,6,7,8,7,7,5,4,3,3,2,3,6,11,15,21,20,23,19,"Rumex obtusifolius"
"Persicaria hydropiper",3,7,12,12,13,15,16,14,17,47,60,58,56,55,27,11,8,7,3,5,4,11,11,12,10,10,3,4,2,2,4,8,7,8,11,9,5,7,7,3,5,6,5,4,5,4,6,12,15,21,20,"Persicaria hydropiper"
"Chelidonium majus",2,2,NA,NA,NA,NA,NA,3,4,7,7,7,5,3,NA,1,1,1,1,1,NA,NA,1,1,2,3,3,2,2,1,NA,NA,NA,NA,NA,NA,3,5,6,7,8,6,5,4,7,15,34,51,62,70,67,"Chelidonium majus"
"Amaranthus powellii",NA,NA,2,2,2,2,3,10,27,66,79,80,76,62,26,10,9,9,4,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,1,1,NA,NA,"Amaranthus powellii"
"Ranunculus repens",10,10,10,6,5,5,10,12,13,21,25,19,16,16,10,5,6,10,10,8,8,9,5,4,5,4,3,3,2,1,3,2,4,6,7,6,6,5,4,4,5,4,4,4,6,12,19,25,33,42,37,"Ranunculus repens"
"Silene vulgaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,151,216,216,"Silene vulgaris"
"Hemerocallis fulva",3,4,4,4,4,3,3,2,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,2,2,4,6,6,5,4,2,4,14,29,47,62,67,61,"Hemerocallis fulva"
"Lotus corniculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,127,164,165,"Lotus corniculatus"
"Lathyrus latifolius",2,3,3,1,1,1,NA,1,1,2,3,3,2,4,3,2,2,2,NA,2,2,3,3,3,2,2,2,2,1,1,1,NA,1,2,3,3,5,6,5,4,4,4,3,4,7,9,9,14,17,18,16,"Lathyrus latifolius"
"Vicia cracca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,218,219,"Vicia cracca"
"Taraxacum officinale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,8,11,14,15,10,17,26,55,80,111,121,135,117,"Taraxacum officinale"
"Salvelinus fontinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,2,4,6,8,12,12,11,13,14,13,23,33,40,56,74,88,85,"Salvelinus fontinalis"
"Arctium minus",3,3,5,3,4,7,12,12,13,13,15,11,10,10,7,3,3,3,2,2,3,2,1,1,1,1,2,2,2,2,2,1,1,3,4,3,3,7,7,8,8,9,5,10,16,30,44,65,76,90,85,"Arctium minus"
"Impatiens glandulifera",3,4,4,3,3,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,3,3,3,2,3,2,5,5,7,12,18,41,61,86,102,96,"Impatiens glandulifera"
"Hieracium murorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,6,6,7,7,"Hieracium murorum"
"Trifolium hybridum",4,7,7,8,8,7,5,8,7,8,17,15,12,12,10,NA,1,3,4,5,5,5,5,4,5,6,5,3,4,2,1,1,2,4,7,8,10,14,11,9,10,11,6,10,14,41,50,68,92,112,90,"Trifolium hybridum"
"Veronica chamaedrys",3,3,3,1,2,2,2,3,3,5,4,4,4,3,1,2,1,1,1,1,NA,NA,NA,NA,NA,1,2,2,2,2,1,NA,1,1,2,2,2,2,2,1,2,2,1,1,1,6,8,10,14,24,23,"Veronica chamaedrys"
"Sonchus arvensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,92,125,160,160,"Sonchus arvensis"
"Lymantria dispar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,93,118,119,"Lymantria dispar"
"Silene latifolia",2,2,2,2,3,3,3,3,3,1,2,2,3,3,3,2,2,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,1,2,2,4,5,5,3,5,4,9,28,50,68,81,80,"Silene latifolia"
"Alliaria petiolata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,44,64,70,"Alliaria petiolata"
"Galium mollugo",3,7,7,7,8,7,5,5,12,16,16,15,14,8,3,2,2,4,4,5,5,6,4,2,4,4,3,3,5,3,3,5,8,7,6,6,4,2,3,3,3,6,6,10,15,29,38,53,60,71,62,"Galium mollugo"
"Potentilla recta",9,12,13,11,13,10,9,13,16,23,25,24,19,17,7,6,4,4,3,6,6,6,5,4,3,2,2,3,3,2,3,5,8,10,11,12,13,12,12,11,10,11,7,8,16,33,49,68,90,115,108,"Potentilla recta"
"Saponaria officinalis",3,4,5,5,7,8,8,8,11,15,13,15,13,9,4,5,3,3,3,2,2,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,3,3,6,7,8,5,5,5,3,3,5,20,46,71,87,100,93,"Saponaria officinalis"
"Hippodamia variegata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1,2,3,3,7,14,25,32,47,50,49,"Hippodamia variegata"
"Sisymbrium loeselii",NA,NA,NA,NA,NA,1,1,3,3,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,"Sisymbrium loeselii"
"Leonurus cardiaca",NA,NA,NA,NA,3,5,5,7,8,8,8,9,7,6,2,1,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,5,5,7,5,11,17,26,35,41,41,"Leonurus cardiaca"
"Sedum sarmentosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,7,8,15,16,"Sedum sarmentosum"
"Columba livia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,66,77,"Columba livia"
"Ranunculus acris",NA,4,9,13,14,19,23,22,24,29,33,33,30,29,24,18,7,12,12,13,11,15,12,9,10,10,7,4,6,5,9,9,11,11,12,9,8,14,15,16,16,19,16,17,33,57,75,103,125,144,126,"Ranunculus acris"
"Lithospermum officinale",3,3,3,1,2,4,4,5,7,9,7,7,6,4,1,1,1,2,3,3,2,2,4,4,5,5,5,2,1,NA,NA,NA,2,2,3,4,4,4,4,5,5,8,6,6,6,21,28,43,57,68,61,"Lithospermum officinale"
"Cirsium arvense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,59,97,143,184,175,"Cirsium arvense"
"Phleum pratense",9,13,19,15,14,13,15,9,9,12,28,23,22,22,17,3,2,8,11,13,13,14,9,8,7,7,8,8,9,10,11,9,13,13,13,11,14,13,10,11,10,10,6,10,17,30,43,78,99,117,109,"Phleum pratense"
"Cryptococcus fagisuga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,4,8,9,11,14,18,17,17,"Cryptococcus fagisuga"
"Capsella bursa-pastoris",3,5,6,6,8,13,16,18,19,31,37,34,33,31,20,7,5,5,6,7,6,7,6,5,4,3,3,1,1,1,2,2,4,5,5,4,3,3,1,2,6,7,6,6,6,15,19,34,48,65,62,"Capsella bursa-pastoris"
"Trifolium repens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,117,171,171,"Trifolium repens"
"Portulaca oleracea",2,2,2,1,1,3,3,4,4,4,2,2,2,2,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,4,6,21,31,42,47,46,"Portulaca oleracea"
"Berberis vulgaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,4,7,11,15,15,14,"Berberis vulgaris"
"Enoplognatha ovata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,5,5,7,9,8,6,6,14,30,37,60,84,79,"Enoplognatha ovata"
"Lonicera tatarica",3,3,4,3,3,2,2,1,2,4,4,4,4,2,NA,NA,1,1,1,1,2,2,2,3,3,4,5,5,4,4,3,1,2,3,3,2,3,3,2,3,5,5,7,8,10,24,29,36,43,49,38,"Lonicera tatarica"
"Phragmites australis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,121,130,"Phragmites australis"
"Galeopsis tetrahit",12,17,16,16,18,20,26,26,33,53,62,56,54,45,26,8,4,6,5,6,7,7,5,7,6,6,5,4,3,3,5,6,6,7,8,5,5,7,5,6,9,10,9,13,18,34,55,76,90,98,83,"Galeopsis tetrahit"
"Convallaria majalis",2,2,1,1,2,2,1,1,1,2,2,3,2,2,1,2,1,1,1,2,1,2,3,3,3,3,2,1,1,NA,NA,1,1,1,1,1,1,1,2,2,2,2,2,4,6,14,34,47,58,72,71,"Convallaria majalis"
"Iris pseudacorus",1,2,1,1,3,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,1,NA,NA,1,1,1,1,2,3,3,9,9,12,22,33,38,57,71,65,"Iris pseudacorus"
"Pieris rapae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,74,130,130,"Pieris rapae"
"Echium vulgare",4,5,5,8,8,8,8,8,7,9,7,6,4,3,NA,NA,1,1,3,4,4,3,4,2,2,3,4,3,4,3,6,6,8,8,8,5,4,6,6,9,12,15,13,16,24,55,87,113,137,161,143,"Echium vulgare"
"Bromus inermis",7,8,8,9,8,8,15,16,15,29,35,27,23,22,11,NA,1,4,7,8,8,7,5,2,3,5,4,3,3,3,2,3,6,8,9,8,7,6,5,3,6,8,8,10,15,22,37,56,70,89,86,"Bromus inermis"
